city,station_name,gasoil10_price,station_location
Casablanca,EL FARAH,‎ 13.95 DH,BOULEVARD GRANDE CEINTURE
Casablanca,S/S JAMILA,‎ 13.96 DH,"208, BOULEVARD SAKIA EL HAMRA-  JAMILA II - SIDI OUTMANE "
Casablanca,AIN BORJA,‎ 13.97 DH,"192, BD MY ISMAIL, CASABLANCA"
Casablanca,FAGES,‎ 13.97 DH,"172, BD IBN TACHFINE-, CASABLANCA"
Casablanca,STATION MOULAY SLIMANE,‎ 13.79 DH,ROUTE MOULAY SLIMANE
Casablanca,OULED ZIANE,‎ 13.97 DH,"194, ROUTE OULED ZIANE -, CASABLANCA"
Casablanca,WINXO LA VILLETTE,‎ 13.95 DH,RUE DE LA VILLETTE
Casablanca,GARE ROUTIERE OULED ZIANE,‎ 9.4 DH,GARE ROUTIÈRE OULED ZIANE
Casablanca,ZENATA,‎ 14.1 DH,ANGLE BOULEVARD DE LA PLAGE ET ROUTE DE ZENATA
Casablanca,AL AZHAR,‎ 13.62 DH,BOULEVARD MBAREK BEN BOUBKER HAMMADI SIDI MOUMEN BERNNOUSSI  
Casablanca,ZENATA,‎ 13.97 DH,"ROUTE COTIÈRE CASA/MOHAMMADIA /AIN SEBEA, ZENATA"
Casablanca,AERODROME,‎ 13.97 DH,"PROVINCE DE SIDI BERNOUSSI, RTE DE BERRECHID"
Casablanca,INDUSTRIE SS,‎ 14.84 DH,"159, BD MOULAY ISMAIL"
Casablanca,S/S AHL LOGHLAM,‎ 13.96 DH,ROUTE DES ZENATAS ARRONDISSMENT DE AIN SEBAA
Casablanca,EL BERNOUSSI,‎ 13.62 DH,ROUTE DE RABAT N°1 SIDI BERNOUSSI CASABLANCA
Casablanca,FETH,‎ 13.97 DH,"ANGLE  BD ABDELMOUMEN/RUE BNOUKHALIQUANE, CASABLANCA"
Casablanca,2001 CASA SS,‎ 13.96 DH,ROUTE PRINCIPALE N°1 AVENUE '' C'' SIDI BERNOUSSI 
Casablanca,S/S  KARAM,‎ 14.59 DH,BD MOULAY SLIMAN
Casablanca,SIDI OTHMANE SS,‎ 13.96 DH,ROUTE 111-KM 8+700  LOTISSEMENT KARAM -AIN SEBAA
Casablanca,TELEVISION SS,‎ 13.88 DH,"KM 6,7  ROUTE DE MARRAKECH"
Casablanca,TELEVISION,‎ 13.97 DH,"BD MOHAMED VI -, CASABLANCA"
Casablanca,NASSIB,‎ 13.97 DH,"ANGLE RUE PLANQUETTE ET BD BA HMAD, CASABLANCA"
Casablanca,ZI TIT MELLIL,‎ 13.97 DH,"ZI TIT MELLIL, TITT MELLILEN"
Casablanca,DERB SULTAN,‎ 13.62 DH,ROUTE MEDIOUNA  DERB SULTAN
Casablanca,STATION IBN TACHFINE,‎ 13.62 DH,RUE SERGENT HITLAIRE QUARTIER AIN BORJA ROCHES NOIRES
Casablanca,JET STATION SERVICE,‎ 14.63 DH,"BD CHEFCHAOUNI, SIDI BERNOUSSI"
Casablanca,SPORT,‎ 13.97 DH,"294, ROUTE DES OULAD ZIANE HAY MANJRA -, CASABLANCA"
Casablanca,WINXO MAROC CARBURANT,‎ 13.95 DH,KM 5 RTE MEDIOUNA
Casablanca,WINXO MOULAY ISMAIL,‎ 13.92 DH,BD MOULAY ISMAIL
Casablanca,ISTIRAHA MEHDIYA,‎ 13.89 DH,ROUTE MEDEYOUNA CASABLANCA
Casablanca,OULED HRIZ,‎ 13.97 DH,"886, BD MOHAMED VI, CASABLANCA"
Casablanca,GARAGE DU PHARE,‎ 13.97 DH,"82, AVENUE AMBASSADEUR BEN ACHA, CASABLANCA"
Casablanca,BOULHAUT SS,‎ 14.86 DH,BD IBN TACHFIN ET RUE D'IFNI
Casablanca,ROCHES NOIRES,‎ 13.97 DH,AVENUE AMBASSADEUR BEN AICHA
Casablanca,AL FIDA,‎ 13.62 DH,BOULEVARD MOHAMED V
Casablanca,ROND POINT AICHA EMILE ZOLA CASA,‎ 13.62 DH,382 BD EMILE ZOLA CASABLANCA
Casablanca,SOKHOUR,‎ 13.97 DH,"100, AVENUE AMBASSADEUR BEN AICHA, CASABLANCA"
Casablanca,STATION TIT MELLIL,‎ 13.95 DH,43 AVENUE D SIDI OTHMANE TIT MELLIL
Casablanca,YAKOUT LAKSSIBA,‎ 13.62 DH,ROUTE DE MEDIOUNA CASALANCA
Casablanca,FELLAH,‎ 13.97 DH,"125,RUE DES SOISSONS -, CASABLANCA"
Casablanca,MARCHE DE GROS SS,‎ 14.69 DH,AV ABDELLAH BEN YASSINE
Casablanca,LA GIRONDE,‎ 13.62 DH,ROND-POINT LA GIRONDE PLACE AL KHAIBAR
Casablanca,KOREA SS,‎ 13.88 DH,"84, PLACE SRAGHNA"
Casablanca,WINXO BLAYE,‎ 13.89 DH,RUE BLAYE ET BD OULED ZIANE
Casablanca,SLIMANE,‎ 13.97 DH,"68, BD IBN TACHFINE, CASABLANCA"
Casablanca,STATION PETROM ORILIS,‎ 13.98 DH,"SIDI EL BERNOUSSI , ANGLE R 322 ET BOUELVARD EL BINA "
Casablanca,WINXO BUZANCY,‎ 13.89 DH,ANGLE BD PASTEUR ET RUE BUZANCY
Casablanca,ALBERT 1ER,‎ 13.97 DH,"BOULEVARD MOHAMMED V, CASABLANCA"
Casablanca,MAMOUNIA,‎ 14.02 DH,PLACE HMIDOU OUATANI
Casablanca,S/S SENATOR IMMOBILIER,‎ 13.97 DH,"296,BOULEVARD EL FIDA, CASABLANCA"
Casablanca,AL AMAL,‎ 13.96 DH,SM76 OPERATION AL BADR SIDI MOUMEN CASABLANCA
Casablanca,S/S AMAHZOUNE,‎ 13.99 DH,BOULEVARD EMILE ZOLA
Casablanca,ISTIRAHA LA GIRONDE,‎ 13.89 DH,MUNICIPALITÉ TIT MELLIL PROVINCE DE MEDIOUNA ROUTE N°9
Casablanca,ESSALAM,‎ 13.97 DH,ANGLE RUE CAPITAINE PUISSESSEAU  BD LA GIRONDE 
Casablanca,ASRIA,‎ 13.97 DH,"128, BD MOHAMED VI, CASABLANCA"
Casablanca,BIADA  CASABLANCA,‎ 13.62 DH,BD MOHAMED VI RUE OMAR EL IDRISSI
Casablanca,LYON SS,‎ 14.97 DH,"1, RUE BACHIR AL IBRAHIMI"
Casablanca,PASTEUR,‎ 13.97 DH,"AVENUE PASTEUR, CASABLANCA"
Casablanca,TIHAD,‎ 13.97 DH,"82, BD MOHAMED VI-, CASABLANCA"
Casablanca,MIRABEAU,‎ 13.97 DH,"AVENUE PASTEUR, CASABLANCA"
Casablanca,CENTRE CASA SS,‎ 14.97 DH,PLACE DAKAR
Casablanca,STATION ZIZ OULED HADDOU,‎ 13.89 DH,"302, BD MOHAMED V"
Casablanca,STATION PETROM 2 MARS,‎ 13.99 DH,BD PANORAMIQUE ET BD 2 MARS
Casablanca,AIN MAAZI,‎ 13.97 DH,"28, BOULEVARD LA RESISTANCE"
Casablanca,STATION HADDAOUIA,‎ 13.95 DH,BOULEVARD 2 MARS HADDAOUIA 2 AIN CHOCK
Casablanca,EL FIDA,‎ 13.97 DH,"ANGLE AVENUE 2 MARS EL FIDA, CASABLANCA"
Casablanca,02-MARS,‎ 13.97 DH,"AVENUE 2 MARS -, CASABLANCA"
Casablanca,WINXO BD MLY DRISS,‎ 13.99 DH,ANG AV MY IDRISS 1ER 
Casablanca,AL MADINA,‎ 13.99 DH,ANGLE BOULEVARD MY DRISS 1ER ET RUE ABDESLAM EL KHATTABI
Casablanca,LA RESISTANCE,‎ 13.67 DH,BOULEVARD 2 MARS HAY INARA AIN CHOK
Casablanca,WINXO AVENUE 2 MARS,‎ 13.89 DH,"ANGLES AVENUE , 2 MARS ET RUE LAMARTINE"
Casablanca,WINXO LES ALLIES,‎ 13.89 DH,PLACE DE LA VICTOIRE
