city,station_name,gasoil10_price,station_location
Casablanca,OUED BOUSKOURA,‎ 13.97 DH,N1 COM OULED AZZOUZ RTE ELJADIDA
Casablanca,WINXO SOCCO,‎ 13.87 DH,BD MOHAMED V
Casablanca,MIRAMAR SS,‎ 14.66 DH,ROND POINT HASSAN II
Casablanca,BENI YAKHLEF,‎ 13.94 DH,ANGLE BOULEVARD MOULAY RCHID ET BOULEVARD RIAD - LOT AL FALAH
Casablanca,GARAGE EL ALIA,‎ 13.94 DH,16 BOULVARD HASSAN II
Casablanca,DU PARC,‎ 13.99 DH,RUE DE FEZ
Casablanca,AIN TEKKI,‎ 14.13 DH,"COMMUNE BENI YAKHLEF, PREFECTURE MOHAMMEDIA"
Casablanca,S/S SIDI MOHAMED GUENOUNI,‎ 13.94 DH,COMMUNE BENI YAKHLAF
Casablanca,DEROUA,‎ 13.98 DH,"DEROUA, LOTISSEMENT BAYTI SAKANE"
Casablanca,LES PLAGES,‎ 13.95 DH,"AVENUE HASSAN II, MOHAMMEDIA"
Casablanca,S/S BOULEVARD SEBTA,‎ 13.94 DH,BOULEVARD SEBTA -ALIA MOHAMMEDIA
Casablanca,RIAD AL KARIA,‎ 13.73 DH,RP 3003 DOUAR OULED AZZOUZ  MUNICIPALITE DAR BOUAZZA  PROVINCE NOUACEUR
Casablanca,FEDALATE,‎ 13.79 DH,JAMÂAT FEDALAT PROVINCE BEN SLIMAN
Casablanca,CPHM ESPACE ZENATA,‎ 13.95 DH,39 RUE LES EUCALYPTUS
Casablanca,BENI YAKHLEF I,‎ 8.12 DH,RP 1 CASA RABAT
Casablanca,AEROPORT MOHAMMED V,‎ 13.88 DH,RTE NATIONALE N°1 BENI YAKHLEF 
Casablanca,STE MEDMA INVEST S/S BAYANE RAHMA II,‎ 14 DH,COMMUNE URBAINE OULED AZOUZ ZONE INDUSTRIELLE- PROVINCE NOUACEUR
Casablanca,OUED EDDAHAB SS,‎ 14.69 DH,"ROUTE DE CASA, DAROUA"
Casablanca,LOUIZIA,‎ 13.93 DH,LOUIZIA ROUTE NATIONALE VERS MOHAMMEDIA
Casablanca,BEN MCHICH,‎ 14.74 DH,DOUAR OULAD BEN OMAR CAIDAT OULAD ZIANE SUR LA ROUTE RP 3336
Casablanca,TAMARIS II,‎ 14.1 DH,KM 10 - DAR BOUAZZA - ROUTE AZEMMOUR
Casablanca,DEROUA,‎ 13.63 DH,RN 9 PK 35+800 COMMUNE DAROUA PROVINCE SETTAT
Casablanca,MOHAMEDIA,‎ 13.6 DH,MOHAMMEDIA
Casablanca,S/S AL MADINA,‎ 13.96 DH,DOUAR CHRAGUI COMMUNE RURALE KHIAYTA
Casablanca,JNAN DEROUA,‎ 13.98 DH,"COMMUNE DEROUA, OULED HRIZ, BERRCHID"
Casablanca,S/S CARREFOUR,‎ 13.96 DH,KM 14 ROUTE D'AZZEMOUR ROUTE COTIERE - DAR BOUAZZA
Casablanca,DAR BOUAZZA,‎ 14.15 DH,RS 320 PK 12+200 DAR BOUAZZA PRÉFECTURE HAY HASSANI AIN CHOK
Casablanca,AL BASSATINE,‎ 14 DH,"PROVINCE BENSLIMANE, COMMUNE EL MANSOURIA, LOUTISSEMENT INDUSTRIEL. "
Casablanca,LES IRIS,‎ 13.98 DH,"PROVINCE DE NOUACER C/R OULED AZZOUZ, DOUAR HARET EL GHABA"
Casablanca,LAKHYAYTA,‎ 13.97 DH,COMMUNE URBAINE ELMANSOURIA  DOUAR BENI AMER
Casablanca,MIMOSA,‎ 13.66 DH,"CERCLE BERRCHID,COMMUNE RURALE LAKHYAYTA"
Casablanca,STATION PETROM LAKHYAYTA,‎ 15.55 DH,RS 222 PK 53+500 PONT BLONDIN ROUTE CÔTIÈRE ENTRÉE DE MOHAMMEDIA
Casablanca,STATION EL MANSOURIA,‎ 9.63 DH,PK 21 RN 8 ROUTE EL JADIDA LAKHYAYTA
Casablanca,JAKMA,‎ 9.62 DH,"CR KASSBAT BEN MCHICH , PROVINCE BERRECHID"
Casablanca,STATION PETROM LAMII,‎ 13.95 DH,RT 19 PK 27 COMMUNE OULED SALEH
Casablanca,AL MIZHARIA,‎ 13.89 DH,RN9 DAROUA VERS BERRECHID   CR JAKMA  BERRECHID
Casablanca,WINXO UNIVERS AMINE,‎ 13.62 DH,AR
Casablanca,STATION PETROM ROCAILLES,‎ 13.98 DH,"ROUTE MEDIOUNA, DEROUA"
Casablanca, MANSOURIA,‎ 15.63 DH,RR 320  PK 15+150 RTE COTIERE AZEMMOUR DAR BOUAZZA
Casablanca,KASBAT BENMCHICH,‎ 14.14 DH,SIS À LA CR KASBAT BEN M’CHICH
Casablanca,KASBAT BEN MCHICH,‎ 13.7 DH,R.P N°3625 PK 12+250 COMMUNE RURALE KASBAT BEN MCHICH   PROVINCE BERRECHID
Casablanca,LAKHYAYTA,‎ 13.65 DH,DOUAR LAKHYAYTA SAHEL KM 25 CERCLE BERRECHID
Casablanca,S/S FAJR,‎ 13.97 DH,COMMUNE FDALETTE -BENSLIMANE
Casablanca,AGOURRAM,‎ 14.09 DH,CR SOUALEM TRAIFIYA PR BERRECHID
Casablanca,STATION ZIZ OULED JERRAR,‎ 13.9 DH,"STATION ZIZ, R R 320 AU PK16+725 A DOUAR LARBAA OULAD JERRAR DAR BOUAZZA"
Casablanca,DAR BOUAZZA,‎ 13.97 DH,"PK 17 ROUTE D'AZEMMOUR DAR BOUAZZA, DAR BOUAZZA"
Casablanca,HAD SOUALEM,‎ 10.19 DH,ROUTE DE DAR BOUAZZA
Casablanca,BELAIR,‎ 13.98 DH,LOT 128 LOTISSEMENT AL FADL HAD SOUALEM - SOUALEM
Casablanca,SADIK STATION S/S TNIN TOUALAA,‎ 13.98 DH,"ROUTE NATIONALE N°11, ENTRÉE DE BERRECHID"
Casablanca, SIDI BARKA,‎ 14.18 DH,"COMMUNE RURALE OULED YAHIA LOUTA, DOUAR LAAOUNAESS"
Casablanca,TAMARIS 3,‎ 14.07 DH,"DOUAR LAAOUNESS, COMMUNE RURALE OULED YAHYA LOUTA, PROVINCE BENSLIMANE"
Casablanca,FIRDAOUS,‎ 13.98 DH,"ROUTE NATIONAL CASA-HAD SOUALEM, HAD SOUALEM"
Casablanca,STATION KASBAT CHAOUIA,‎ 15.55 DH,RN 9 PK 45+4 MUNICIPALITE BERRECHID
Casablanca,S/S HIDAYA LAASSILATE ,‎ 13.97 DH,COMMUNE SAHEL DOUAR LAASILATE 
Casablanca,LAACILATE,‎ 13.63 DH,RS 103 PK 22+000 COMMUNE RURALE LAKHYAYTA CERCLE DE BERRECHID PROVINCE DE SETTAT
Casablanca,BERRECHID 3,‎ 13.59 DH,RS 114 KM 30 ROUTE DE BOUSEKOURA BERRECHID
Casablanca,WINXO BERRECHID,‎ 13.93 DH,LOT ZOUBIDA RP 114-PK 34
Casablanca,BERRCHID 1,‎ 13.98 DH,"ROUTE DE BOUSSEKOURA, BERRECHID"
Casablanca,STATION ZIZ BOUMAAZATE,‎ 13.9 DH,"STATION ZIZ, RR 10 9 ET RR103 PK 32 BERRECHID PROVINCE DE SETTAT"
Casablanca,BOUMAIZA,‎ 13.99 DH,KM 9 ROUTE RÉGIONALE R318 SORTIE DE BERRECHID VERS HAD SOUALEM
Casablanca,TOUALAA,‎ 13.95 DH,"305, COMMUNE OULAD YAHYA "
Casablanca,PETROFAN S/S DAR 16,‎ 13.9 DH,ROUTE 18 PK 45+1 ROUTE EL GARA
Casablanca,HAD SOUALEM,‎ 13.63 DH,COMMUNE OULED AZZOUZ - PROVINCE DE NOUACEUR
Casablanca,SIDI RAHAL,‎ 14.07 DH,CENTRE HAD SOUALEM
Casablanca,S/S ESPACE KILMI,‎ 13.97 DH,"106, ROUTE OULED YAHIA OULED YAHIA LOUTA  "
Casablanca,BENSLIMANE 1,‎ 13.63 DH,R R N305 PK 27+200 CR OULED YAHYA LOUTA
Casablanca,CPHM KASBAH,‎ 9.84 DH,RP 32 PK 24+1 COMMUNE DE HAD SOUALEM
Casablanca,SOUK TNINE,‎ 13.58 DH,"""BOULEVARD DU NOUVEAU SOUK BERRECHID"""
Casablanca,S/PETROM ESPACE EL BASMA,‎ 13.69 DH,ROUTE AIN SAEIRNI
Casablanca,ESPACE HIATI,‎ 14.01 DH,"HAD SOUALEM, HAD SOUALEM"
Casablanca,BERRECHID 2,‎ 13.58 DH,DOUAR BENI KARZAZ
Casablanca,ELHADI JAOUAD SS,‎ 14.73 DH,RP 7 PK 43+000 BERRECHID 
Casablanca,ALBOUSTANE,‎ 13.73 DH,RP N° 36 PK 32+000 AUTOROUTE CASABLANCA VERS RABAT
Casablanca,BERRECHID 1,‎ 13.63 DH,SORTIE DE BERRECHID VERS MARRAKECH
Casablanca,AL JAZIRA,‎ 13.98 DH,"AUTO ROUTE CASA RABAT, BOUZNIKA"
Casablanca,OULED HARRIZ,‎ 13.99 DH,ZI ROUTE DE MARRAKECH
Casablanca,BERRECHID 4,‎ 13.63 DH,ROUTE DE BERRECHID VERS SETTAT
Casablanca,2001 BERRECHID,‎ 14.71 DH,ROUTE DE SETTAT
Casablanca,WINXO HAD SOUALEM,‎ 13.9 DH,HAD SOUALEM
Casablanca,LAMBARKIYINE,‎ 15.55 DH,"""EMPRISE RP N° 13 PK 7 BERRECHID PROVINCE BERRECHID"""
Casablanca,DAHOMEY,‎ 13.98 DH,LOTISSEMENT BAHIA 1 - ROUTE CÔTIÈRE MOHAMMEDIA
Casablanca,STATION PETROM BEN SLIMAN,‎ 14.04 DH,ROND POINT 11 X 16 HAY EL FATH
Casablanca,ISTIRAHA LAHRIZI,‎ 13.9 DH,ROUTE SETTAT
Casablanca,STATION ZIZ BERRECHID,‎ 13.9 DH,"STATION ZIZ, ZONE INDUSTRIEL BERRECHID ROUTE NATIONALE 9 (VERS SETTAT)"
Casablanca,LAMBRIKIYINE,‎ 14.18 DH,SITUÉE À COMMUNE RURALE LAMBARKIYINE
Casablanca,BENSLIMANE,‎ 14.06 DH,CENTRE BENSLIMANE
Casablanca,EL GARA,‎ 13.98 DH,"COMMUNE FEDALAT BEN SLIMANE, PROVINCE DE BEN SLIMANE"
Casablanca,GARAGE BENSLIMANE,‎ 14.06 DH,CENTRE BENSLIMANE
Casablanca,WINXO BENSLIMANE,‎ 8.3 DH,AVENUE HASSAN II 
Casablanca,WINXO JACMA,‎ 13.98 DH,RN 1 PK 315+050 BOUZNIKA VERS CASA
Casablanca,CHAOUIA,‎ 13.9 DH,RN 11 PK 39+300 CERCLE ELGARA CAI 0 EL GARA
Casablanca,OCÉAN,‎ 13.73 DH,AUTOROUTE DE SETTAT VERS BERRECHID  
Casablanca,SIDI RAHAL,‎ 13.98 DH,"ROUTE NATIONALE N°1, ENTRÉE DE BOUZNIKA"
Casablanca,SOGEFAM S/S ALIA ( KM 36),‎ 13.97 DH,LOTISSEMENT ALIA II COMMUNE HAD SOUALEM PROVINCE DE BERRECHID
Casablanca,RELAIS CHAOUIA,‎ 14.04 DH,"CASABLANCA VERS MARRAKECH, PK 35"
Casablanca,STATION PETROM NZAHA,‎ 13.95 DH,RP 1 PK 200+313 MUNICIPALITE DE BOUZNIKA
Casablanca,STATION CPHM ZYAYDA,‎ 13.96 DH,RP 3325 PK1 1  CR OULED YAHAYA EL MSAADA
Casablanca, BOUZNIKA,‎ 14.19 DH,"COMMUNE URBAINE BOUZNIKA, PROVINCE BENSLIMANE"
Casablanca,S/S AUTOROUTE BERRECHID,‎ 14.07 DH,AUTOROUTE KHOURIBGA -BERRECHID SITUE P.K 15 COMMUNE LAMBARKIYINE 
Casablanca,AIRE DE REPOS BERRECHID,‎ 14.56 DH,PK15 AUTOROUTE CASA-BENIMELLAL
Casablanca,STATION ZIZ MELLILA,‎ 13.9 DH,"STATION ZIZ, CT N° 1054 A JEMA MELLILA PROVINCE DE BENSLIMANE"
Casablanca,GARA 2,‎ 13.69 DH,RS 117 PK 2500 BOUZNIKA
Casablanca, BERRECHID,‎ 13.63 DH, ENTRÉE EL GARA
Casablanca,ZI BERRECHID,‎ 14.59 DH,"COMMUNE RURALE SIDI EL MEKKI, PROVINCE BERRECHID"
Casablanca,STATION PETROM BOUZNIKA,‎ 13.96 DH,AVENUE HASSAN II
Casablanca,WINXO EL GARA,‎ 13.91 DH,RTE 1007 DE BEN SLIMANE RUE DES C 
Casablanca,GARA 3,‎ 13.63 DH,ROUTE BEN AHMED CENTRE EL GARA
Casablanca,GARA 1,‎ 13.63 DH,ROND POINT PRINCIPAL CENTRE VILLE - GARA
Casablanca,GARA,‎ 8.6 DH,"ROUTE DE BEN AHMED, EL GARA"
Casablanca,WINXO SIDI RAHAL,‎ 13.98 DH,KM32 SIDI RAHAL
Casablanca,BENSLIMANE 2,‎ 13.63 DH,RN N°1 PK203+402 COMMUNE ESAHEL OULED HRIZ BERRECHID
Casablanca,STATION ZIZ SIDI KACEM ZEMMAL,‎ 13.9 DH,"STATION ZIZ, RP N° 3610 SIDI KACEM ZEMMAL PROVINCE BERRCHID"
Casablanca,BENMOUSSA,‎ 13.99 DH,OULED LAHCEN DKHAKHNA COMMUNE JEMAA RIAH
Casablanca,S/S PETROMIN LA FERME DE BENSLIMANE,‎ 13.97 DH,ROUTE REGIONALE N°404 PK 050+131 COMMUNE ZIAIDA PROVINCE DE BENSLIMANE
Casablanca,BOUFERROUJ,‎ 13.99 DH,"RTE SETTAT BOUFAROUJ CENTRE - BOUFARROUJ, BOUFARROUJ"
Casablanca,S/S BAB ASSAHEL,‎ 14 DH,RR 320 EX RS N° 130 DOUAR BIR RATMA COMMUNE RURALE DE LMHARZA ESSAHEL
Casablanca,BIR JDID 2,‎ 11.9 DH,RP N° 8 PK 4 BIR JDID
Casablanca,BENSLIMANE,‎ 14.01 DH,COMMUNE ZYAYDA PK2+400 BEN SLIMANE
