city,company,station_name,supercarburant_price,station_location
Casablanca,TOTAL ENERGIES,LOUIZIA,‎ 14.81 DH,"DEROUA, LOTISSEMENT BAYTI SAKANE"
Casablanca,TOTAL ENERGIES,TAMARIS II,‎ 14.78 DH,39 RUE LES EUCALYPTUS
Casablanca,TOTAL ENERGIES,JNAN DEROUA,‎ 14.45 DH,KM 10 - DAR BOUAZZA - ROUTE AZEMMOUR
Casablanca,TOTAL ENERGIES,AL BASSATINE,‎ 14.81 DH,"COMMUNE DEROUA, OULED HRIZ, BERRCHID"
Casablanca,TOTAL ENERGIES,LES IRIS,‎ 14.81 DH,"PROVINCE DE NOUACER C/R OULED AZZOUZ, DOUAR HARET EL GHABA"
Casablanca,TOTAL ENERGIES,AL MIZHARIA,‎ 14.79 DH,RN9 DAROUA VERS BERRECHID   CR JAKMA  BERRECHID
Casablanca,TOTAL ENERGIES,HAD SOUALEM,‎ 14.81 DH,LOT 128 LOTISSEMENT AL FADL HAD SOUALEM - SOUALEM
Casablanca,TOTAL ENERGIES,BELAIR,‎ 14.81 DH,"ROUTE NATIONALE N°11, ENTRÉE DE BERRECHID"
Casablanca,TOTAL ENERGIES,TAMARIS 3,‎ 14.87 DH,ROUTE NATIONALE CÔTIÈRE CASABLANCA - AZEMMOUR
Casablanca,TOTAL ENERGIES,BOUMAIZA,‎ 14.85 DH,KM 9 ROUTE RÉGIONALE R318 SORTIE DE BERRECHID VERS HAD SOUALEM
Casablanca,TOTAL ENERGIES,DAHOMEY,‎ 14.82 DH,ZI ROUTE DE MARRAKECH
Casablanca,TOTAL ENERGIES,BENSLIMANE,‎ 14.89 DH,CENTRE BENSLIMANE
