city,company,station_name,supercarburant_price,station_location
Casablanca,AFRIQUIA,MIMOSA,‎ 14.3 DH,RS 222 PK 53+500 PONT BLONDIN ROUTE CÔTIÈRE ENTRÉE DE MOHAMMEDIA
Casablanca,AFRIQUIA,KASBAT BEN MCHICH,‎ 14.79 DH,R.P N°3625 PK 12+250 COMMUNE RURALE KASBAT BEN MCHICH   PROVINCE BERRECHID
Casablanca,AFRIQUIA,LAKHYAYTA,‎ 14.31 DH,DOUAR LAKHYAYTA SAHEL KM 25 CERCLE BERRECHID
Casablanca,AFRIQUIA,TAMARIS,‎ 12.11 DH,ROUTE DE DAR BOUAZZA
Casablanca,AFRIQUIA,LAACILATE,‎ 14.3 DH,RS 103 PK 22+000 COMMUNE RURALE LAKHYAYTA CERCLE DE BERRECHID PROVINCE DE SETTAT
Casablanca,AFRIQUIA,BERRECHID 3,‎ 14.28 DH,RS 114 KM 30 ROUTE DE BOUSEKOURA BERRECHID
Casablanca,AFRIQUIA,BENSLIMANE 1,‎ 14.3 DH,CENTRE HAD SOUALEM
Casablanca,AFRIQUIA,SOUK TNINE,‎ 14.25 DH,"""BOULEVARD DU NOUVEAU SOUK BERRECHID"""
Casablanca,AFRIQUIA,BERRECHID 2,‎ 14.25 DH,RP 7 PK 43+000 BERRECHID 
Casablanca,AFRIQUIA,ALBOUSTANE,‎ 14.4 DH,RP N° 36 PK 32+000 AUTOROUTE CASABLANCA VERS RABAT
Casablanca,AFRIQUIA,BERRECHID 1,‎ 14.3 DH,SORTIE DE BERRECHID VERS MARRAKECH
Casablanca,AFRIQUIA,OULED HRIZ,‎ 14.3 DH,ROUTE DE BERRECHID VERS SETTAT
Casablanca,AFRIQUIA,LAMBARKIYINE,‎ 14.72 DH,ROUTE DE KHOURIBGA PK 3600 COMMUNE LEMBARKIYINE
Casablanca,AFRIQUIA,BOUZNIKA 1,‎ 14.81 DH,RN 1 PK 315+050 BOUZNIKA VERS CASA
Casablanca,AFRIQUIA,CHAOUIA,‎ 14.4 DH,AUTOROUTE DE SETTAT VERS BERRECHID  
Casablanca,AFRIQUIA,SIDI RAHAL,‎ 14.3 DH,RP 320 PK 28+800 COMMUNE SIDI RAHAL CHATI PROVINCE BERRECHID
Casablanca,AFRIQUIA,BOUZNIKA 2,‎ 14.4 DH,RS 117 PK 2500 BOUZNIKA
