city,company,station_name,gasoil10_price,station_location
Casablanca,AFRIQUIA,TACHAROUK 2,‎ 14.05 DH,"BV OQBA IBNO NAFIAA, TACHAROUK"
Casablanca,AFRIQUIA,TACHAROUK 1,‎ 13.62 DH,"""AVENUE OKBA IBNOU NAFIA ET ABDELKADER SAHRAOUI  CASABLANCA                              """
Casablanca,AFRIQUIA,AIN SEBAA 2,‎ 13.57 DH,LOTISSEMENT LAHBAYB N° 1 COMMUNE AIN SEBAÂ
Casablanca,AFRIQUIA,GRANDE CEINTURE II,‎ 13.62 DH,BOULEVARD GRANDE CEINTURE
Casablanca,AFRIQUIA,AIN SEBAA 1,‎ 13.98 DH,"120, BOULEVARD DE LA GRANDE CEINTURE AIN SBAA"
Casablanca,AFRIQUIA,MARCHE DE GROS,‎ 13.54 DH,COMMUNE AIN SEBAÂ CASABLANCA
Casablanca,AFRIQUIA,ANASSI,‎ 13.62 DH,ANGLE 10 MARS ET ABDELKADER ESSAHRAOUI
Casablanca,AFRIQUIA,STATION AFRIQUIA AIN SEBAA (ROUTE DE RABAT),‎ 13.62 DH,KM 7 ROUTE DE RABAT ARRONDISSEMENT AIN SEBAA
Casablanca,AFRIQUIA,MOULAY ISMAIL,‎ 13.62 DH,BOULEVARD MOULAY ISMAÏL ( CIDANA ) EX USINE DE CIRAGE
Casablanca,AFRIQUIA,STATION MOULAY SLIMANE,‎ 13.79 DH,ROUTE MOULAY SLIMANE
Casablanca,AFRIQUIA,GARE ROUTIERE OULED ZIANE,‎ 9.4 DH,GARE ROUTIÈRE OULED ZIANE
Casablanca,AFRIQUIA,AL AZHAR,‎ 13.62 DH,BOULEVARD MBAREK BEN BOUBKER HAMMADI SIDI MOUMEN BERNNOUSSI  
Casablanca,AFRIQUIA,EL BERNOUSSI,‎ 13.62 DH,ROUTE DE RABAT N°1 SIDI BERNOUSSI CASABLANCA
Casablanca,AFRIQUIA,DERB SULTAN,‎ 13.62 DH,ROUTE MEDIOUNA  DERB SULTAN
Casablanca,AFRIQUIA,STATION IBN TACHFINE,‎ 13.62 DH,RUE SERGENT HITLAIRE QUARTIER AIN BORJA ROCHES NOIRES
Casablanca,AFRIQUIA,AL FIDA,‎ 13.62 DH,BOULEVARD MOHAMED V
Casablanca,AFRIQUIA,YAKOUT LAKSSIBA,‎ 13.62 DH,ROUTE DE MEDIOUNA CASALANCA
Casablanca,AFRIQUIA,INARA,‎ 13.62 DH,ROND-POINT LA GIRONDE PLACE AL KHAIBAR
Casablanca,AFRIQUIA,LA RESISTANCE,‎ 13.67 DH,BOULEVARD 2 MARS HAY INARA AIN CHOK
Casablanca,AFRIQUIA,STATION JAWHARA,‎ 13.62 DH,BOULEVARD LA RÉSISTANCE CASABLANCA
Casablanca,AFRIQUIA,HERMITAGE,‎ 13.67 DH,BOULEVARD PANORAMIQUE ET BOULEVARD NADOR L'HERMITAGE CASABLANCA
Casablanca,AFRIQUIA,SIDI HAJAJ,‎ 14.55 DH,RP 3024 DOUAR OULED BOUAZIZ COMMUNE RURALE SIDI HAJJAJ OUED HASSAR   PROVINCE MEDIOUNA
Casablanca,AFRIQUIA,ABDELMOUMEN I,‎ 13.62 DH,355 BOULEVARD ABDELMOUMEN CASABLANCA
Casablanca,AFRIQUIA,ABDELMOUMEN II,‎ 13.62 DH,ANGLE RUE LAMENAI ET BOULEVARD ABDELMOUMEN CASABLANCA
Casablanca,AFRIQUIA,AIN HARROUDA,‎ 13.62 DH,RN 1 MUNICIPALITÉ DE AIN HARROUDA PRÉFECTURE DE MOHAMMEDIA    
Casablanca,AFRIQUIA,CASABLANCA,‎ 13.72 DH,AUTOROUTE DE CONTOURNEMENT DE CASABLANCA DOUAR LAMZABIINE BOUSKOURA
Casablanca,AFRIQUIA,SIDI MAAROUF 2,‎ 13.62 DH,ROUTE EL JADIDA OASIS
Casablanca,AFRIQUIA,SIDI MESSAOUD,‎ 13.57 DH,9 CENTRE COMMERCIAL BOUSKOURA SIDI MAÂROUF CASABLANCA
Casablanca,AFRIQUIA,BOUSKOURA 1,‎ 13.62 DH,"SORTIE DE CASABLANCA, ROUTE DE MARRAKECH"
Casablanca,AFRIQUIA,ZENATA,‎ 13.62 DH, ENTRÉE VERS MOHAMMEDIA ZENATA
Casablanca,AFRIQUIA,ALLAYMOUN,‎ 13.62 DH,LOTISSEMENT MEHDI ROUTE EL JADIDA LISSASFA
Casablanca,AFRIQUIA,ROUTE AZEMOUR,‎ 13.62 DH,ANGLE BOULEVARD ABI RAKRAK ET IBNOU HAITAM QUARTIER HAY HASSANI
Casablanca,AFRIQUIA,HAY HASSANI ,‎ 13.62 DH,ANGLE BOULEVARD ABI RAKRAK ET IBNOU HAITAM QUARTIER HAY HASSANI CASABLANCA
Casablanca,AFRIQUIA,SIDI MAAROUF 1,‎ 13.62 DH,QUARTIER INDUSTRIEL SIDI MAÂROUF
Casablanca,AFRIQUIA,ROUTE EL JADIDA,‎ 13.62 DH,KM 9 ROUTE DE CASABLANCA VERS EL JADIDA LISSASFA
Casablanca,AFRIQUIA,SIDI MOUSSA,‎ 13.96 DH,RP 106 PK 25+000 SIDI MOUSSA BEN ALI
Casablanca,AFRIQUIA,BOUSKOURA 2,‎ 10.15 DH,ROUTE DE BOUSKOURA
Casablanca,AFRIQUIA,ERRAHMA,‎ 13.6 DH,RS 111 PK 17+000  MOHAMMEDIA 
Casablanca,AFRIQUIA,BD HASSAN II,‎ 14.15 DH,ROUTE AZEMMOUR PRÈS CENTRE ERRAHMA
Casablanca,AFRIQUIA,RIAD AL KARIA,‎ 13.73 DH,RP 3003 DOUAR OULED AZZOUZ  MUNICIPALITE DAR BOUAZZA  PROVINCE NOUACEUR
Casablanca,AFRIQUIA,FEDALATE,‎ 13.79 DH,JAMÂAT FEDALAT PROVINCE BEN SLIMAN
Casablanca,AFRIQUIA,AEROPORT MOHAMMED V,‎ 13.63 DH,AÉROPORT MOHAMED V NOUACEUR
Casablanca,AFRIQUIA,LOUIZIA,‎ 13.93 DH,LOUIZIA ROUTE NATIONALE VERS MOHAMMEDIA
Casablanca,AFRIQUIA,DEROUA,‎ 13.63 DH,RN 9 PK 35+800 COMMUNE DAROUA PROVINCE SETTAT
Casablanca,AFRIQUIA,MOHAMEDIA,‎ 13.6 DH,MOHAMMEDIA
Casablanca,AFRIQUIA,DAR BOUAZZA,‎ 14.15 DH,RS 320 PK 12+200 DAR BOUAZZA PRÉFECTURE HAY HASSANI AIN CHOK
Casablanca,AFRIQUIA,MIMOSA,‎ 13.66 DH,RS 222 PK 53+500 PONT BLONDIN ROUTE CÔTIÈRE ENTRÉE DE MOHAMMEDIA
Casablanca,AFRIQUIA,STATION EL MANSOURIA,‎ 9.63 DH,CITE BALEAIRE COMMUNE EL MANSOURIA
Casablanca,AFRIQUIA,LAKHYAYTA,‎ 13.7 DH,R.P N°3625 PK 12+250 COMMUNE RURALE KASBAT BEN MCHICH   PROVINCE BERRECHID
Casablanca,AFRIQUIA,TAMARIS,‎ 10.19 DH,ROUTE DE DAR BOUAZZA
Casablanca,AFRIQUIA,LAACILATE,‎ 13.63 DH,RS 103 PK 22+000 COMMUNE RURALE LAKHYAYTA CERCLE DE BERRECHID PROVINCE DE SETTAT
Casablanca,AFRIQUIA,BERRECHID 3,‎ 13.59 DH,RS 114 KM 30 ROUTE DE BOUSEKOURA BERRECHID
Casablanca,AFRIQUIA,HAD SOUALEM,‎ 13.63 DH,CENTRE HAD SOUALEM
Casablanca,AFRIQUIA,BENSLIMANE 1,‎ 13.63 DH,R R N305 PK 27+200 CR OULED YAHYA LOUTA
Casablanca,AFRIQUIA,SOUK TNINE,‎ 13.58 DH,"""BOULEVARD DU NOUVEAU SOUK BERRECHID"""
Casablanca,AFRIQUIA,ALBOUSTANE,‎ 13.58 DH,RP 7 PK 43+000 BERRECHID 
Casablanca,AFRIQUIA,BERRECHID 1,‎ 13.73 DH,RP N° 36 PK 32+000 AUTOROUTE CASABLANCA VERS RABAT
Casablanca,AFRIQUIA,BERRECHID 4,‎ 13.63 DH,ROUTE DE BERRECHID VERS SETTAT
Casablanca,AFRIQUIA,OULED HRIZ,‎ 13.63 DH,"""EMPRISE RP N° 13 PK 7 BERRECHID PROVINCE BERRECHID"""
Casablanca,AFRIQUIA,LAMBARKIYINE,‎ 15.55 DH,ROUTE DE KHOURIBGA PK 3600 COMMUNE LEMBARKIYINE
Casablanca,AFRIQUIA,BOUZNIKA 1,‎ 13.98 DH,RN 1 PK 315+050 BOUZNIKA VERS CASA
Casablanca,AFRIQUIA,CHAOUIA,‎ 13.73 DH,AUTOROUTE DE SETTAT VERS BERRECHID  
