"city_x","company_x","station_name","gasoil10_price","supercarburant_price","station_location_y"
"Casablanca","TOTAL ENERGIES","BENI YAKHLEF","‎ 13.95 DH","‎ 14.78 DH","KYADA BENIKHLEF, RTE NATIONALE N1"
"Casablanca","TOTAL ENERGIES","GARAGE EL ALIA","‎ 13.94 DH","‎ 14.29 DH","16 BOULVARD HASSAN II"
"Casablanca","TOTAL ENERGIES","DU PARC","‎ 13.99 DH","‎ 14.79 DH","RUE DE FEZ"
"Casablanca","TOTAL ENERGIES","LOUIZIA","‎ 13.95 DH","‎ 14.81 DH","DEROUA, LOTISSEMENT BAYTI SAKANE"
"Casablanca","TOTAL ENERGIES","TAMARIS II","‎ 14.1 DH","‎ 14.78 DH","39 RUE LES EUCALYPTUS"
"Casablanca","TOTAL ENERGIES","JNAN DEROUA","‎ 13.98 DH","‎ 14.45 DH","KM 10 - DAR BOUAZZA - ROUTE AZEMMOUR"
"Casablanca","TOTAL ENERGIES","AL BASSATINE","‎ 14 DH","‎ 14.81 DH","COMMUNE DEROUA, OULED HRIZ, BERRCHID"
"Casablanca","TOTAL ENERGIES","LES IRIS","‎ 13.98 DH","‎ 14.81 DH","PROVINCE DE NOUACER C/R OULED AZZOUZ, DOUAR HARET EL GHABA"
"Casablanca","TOTAL ENERGIES","AL MIZHARIA","‎ 13.89 DH","‎ 14.79 DH","RN9 DAROUA VERS BERRECHID   CR JAKMA  BERRECHID"
"Casablanca","TOTAL ENERGIES","HAD SOUALEM","‎ 13.98 DH","‎ 14.81 DH","LOT 128 LOTISSEMENT AL FADL HAD SOUALEM - SOUALEM"
"Casablanca","TOTAL ENERGIES","BELAIR","‎ 13.98 DH","‎ 14.81 DH","ROUTE NATIONALE N°11, ENTRÉE DE BERRECHID"
"Casablanca","TOTAL ENERGIES","TAMARIS 3","‎ 14.07 DH","‎ 14.87 DH","ROUTE NATIONALE CÔTIÈRE CASABLANCA - AZEMMOUR"
"Casablanca","TOTAL ENERGIES","BOUMAIZA","‎ 13.99 DH","‎ 14.85 DH","KM 9 ROUTE RÉGIONALE R318 SORTIE DE BERRECHID VERS HAD SOUALEM"
"Casablanca","TOTAL ENERGIES","DAHOMEY","‎ 13.98 DH","‎ 14.82 DH","ZI ROUTE DE MARRAKECH"
