station_name,gasoil10_price,station_location
ZENATA,‎ 13.97 DH,"ROUTE COTIÈRE CASA/MOHAMMADIA /AIN SEBEA, ZENATA"
AERODROME,‎ 13.97 DH,"PROVINCE DE SIDI BERNOUSSI, RTE DE BERRECHID"
INDUSTRIE SS,‎ 14.84 DH,"159, BD MOULAY ISMAIL"
S/S AHL LOGHLAM,‎ 13.96 DH,ROUTE DES ZENATAS ARRONDISSMENT DE AIN SEBAA
EL BERNOUSSI,‎ 13.62 DH,ROUTE DE RABAT N°1 SIDI BERNOUSSI CASABLANCA
FETH,‎ 13.97 DH,"ANGLE  BD ABDELMOUMEN/RUE BNOUKHALIQUANE, CASABLANCA"
2001 CASA SS,‎ 13.96 DH,ROUTE PRINCIPALE N°1 AVENUE '' C'' SIDI BERNOUSSI 
S/S  KARAM,‎ 14.59 DH,BD MOULAY SLIMAN
SIDI OTHMANE SS,‎ 14.7 DH,"KM 6,7  ROUTE DE MARRAKECH"
TELEVISION SS,‎ 13.88 DH,"KM 6,8  ROUTE DE MARRAKECH"
TELEVISION,‎ 13.97 DH,"BD MOHAMED VI -, CASABLANCA"
NASSIB,‎ 13.97 DH,"ANGLE RUE PLANQUETTE ET BD BA HMAD, CASABLANCA"
DERB SULTAN,‎ 13.97 DH,"ZI TIT MELLIL, TITT MELLILEN"
STATION IBN TACHFINE,‎ 13.62 DH,ROUTE MEDIOUNA  DERB SULTAN
JET STATION SERVICE,‎ 14.63 DH,RUE SERGENT HITLAIRE QUARTIER AIN BORJA ROCHES NOIRES
SPORT,‎ 13.97 DH,"294, ROUTE DES OULAD ZIANE HAY MANJRA -, CASABLANCA"
WINXO MAROC CARBURANT,‎ 13.95 DH,KM 5 RTE MEDIOUNA
WINXO MOULAY ISMAIL,‎ 13.92 DH,BD MOULAY ISMAIL
ISTIRAHA MEHDIYA,‎ 13.89 DH,ROUTE MEDEYOUNA CASABLANCA
MOUSTAKBAL,‎ 13.97 DH,"868, BOULEVARD MOHAMMED VI"
GARAGE DU PHARE,‎ 13.97 DH,"886, BD MOHAMED VI, CASABLANCA"
BOULHAUT SS,‎ 14.86 DH,BD IBN TACHFIN ET RUE D'IFNI
ROCHES NOIRES,‎ 13.97 DH,AVENUE AMBASSADEUR BEN AICHA
AL FIDA,‎ 13.62 DH,BOULEVARD MOHAMED V
ROND POINT AICHA EMILE ZOLA CASA,‎ 13.62 DH,382 BD EMILE ZOLA CASABLANCA
SOKHOUR,‎ 13.97 DH,"100, AVENUE AMBASSADEUR BEN AICHA, CASABLANCA"
STATION TIT MELLIL,‎ 13.95 DH,43 AVENUE D SIDI OTHMANE TIT MELLIL
FELLAH,‎ 13.62 DH,ROUTE DE MEDIOUNA CASALANCA
MARCHE DE GROS SS,‎ 14.69 DH,AV ABDELLAH BEN YASSINE
LA GIRONDE,‎ 13.62 DH,ROND-POINT LA GIRONDE PLACE AL KHAIBAR
KOREA SS,‎ 13.88 DH,"84, PLACE SRAGHNA"
WINXO BLAYE,‎ 13.89 DH,RUE BLAYE ET BD OULED ZIANE
SLIMANE,‎ 13.97 DH,"68, BD IBN TACHFINE, CASABLANCA"
STATION PETROM ORILIS,‎ 13.98 DH,"SIDI EL BERNOUSSI , ANGLE R 322 ET BOUELVARD EL BINA "
WINXO BUZANCY,‎ 13.89 DH,ANGLE BD PASTEUR ET RUE BUZANCY
ALBERT 1ER,‎ 13.97 DH,"BOULEVARD MOHAMMED V, CASABLANCA"
SRAGHNAS,‎ 14.02 DH,PLACE HMIDOU OUATANI
S/S SENATOR IMMOBILIER,‎ 13.96 DH,SM76 OPERATION AL BADR SIDI MOUMEN CASABLANCA
AL AMAL,‎ 13.99 DH,BOULEVARD EMILE ZOLA
S/S AMAHZOUNE,‎ 13.96 DH,MUNICIPALITÉ TIT MELLIL PROVINCE DE MEDIOUNA ROUTE N°9
ISTIRAHA LA GIRONDE,‎ 13.89 DH,ANGLE RUE CAPITAINE PUISSESSEAU  BD LA GIRONDE 
ESSALAM,‎ 13.97 DH,"19, AVENUE PASTEUR, CASABLANCA"
ASRIA,‎ 13.97 DH,"128, BD MOHAMED VI, CASABLANCA"
BIADA  CASABLANCA,‎ 13.62 DH,BD MOHAMED VI RUE OMAR EL IDRISSI
PASTEUR,‎ 14.97 DH,"1, RUE BACHIR AL IBRAHIMI"
TIHAD,‎ 13.97 DH,"AVENUE PASTEUR, CASABLANCA"
MIRABEAU,‎ 13.97 DH,"AVENUE PASTEUR, CASABLANCA"
DAKAR SS,‎ 14.97 DH,PLACE DAKAR
CENTRE CASA SS,‎ 14.97 DH,"302, BD MOHAMED V"
STATION ZIZ OULED HADDOU,‎ 13.89 DH,"STATION ZIZ, KM 12 RTE MEDIOUNA COMM MEJJATIA OULED HADDOU MEDIOUNA"
STATION PETROM 2 MARS,‎ 13.99 DH,BD PANORAMIQUE ET BD 2 MARS
STATION HADDAOUIA,‎ 13.97 DH,"28, BOULEVARD LA RESISTANCE"
EL FIDA,‎ 13.95 DH,BOULEVARD 2 MARS HADDAOUIA 2 AIN CHOCK
02-MARS,‎ 13.97 DH,"ANGLE AVENUE 2 MARS EL FIDA, CASABLANCA"
WINXO BD MLY DRISS,‎ 13.97 DH,"AVENUE 2 MARS -, CASABLANCA"
AL MADINA,‎ 13.99 DH,ANG AV MY IDRISS 1ER 
INARA,‎ 13.67 DH,ANGLE BOULEVARD MY DRISS 1ER ET RUE ABDESLAM EL KHATTABI
LA RESISTANCE,‎ 13.62 DH,BOULEVARD 2 MARS HAY INARA AIN CHOK
WINXO AVENUE 2 MARS,‎ 13.89 DH,"ANGLES AVENUE , 2 MARS ET RUE LAMARTINE"
WINXO LES ALLIES,‎ 13.89 DH,PLACE DE LA VICTOIRE
STATION JAWHARA,‎ 13.63 DH,QUARTIER DERB OMAR RESIDENCE JAWHARA
MY DRISS,‎ 13.97 DH,ANGLE BOULEVARD 2 MARS ET MY DRISS 1ER
HERMITAGE,‎ 13.67 DH,BOULEVARD PANORAMIQUE ET BOULEVARD NADOR L'HERMITAGE CASABLANCA
RIAD,‎ 13.97 DH,"AVENUE 2 MARS, CASABLANCA"
PETROFAM S/S PANORAMIQUE,‎ 13.96 DH,ANGLE BD PANORAMIQUE  & BD OULED HADDOU ARRONDISSEMENT AIN CHOCK CASABLANCA
STATION ZIZ 2 MARS,‎ 13.89 DH,"STATION ZIZ, AVENUE 2 MARS CASABLANCA"
SIDI HAJAJ,‎ 14.55 DH,RP 3024 DOUAR OULED BOUAZIZ COMMUNE RURALE SIDI HAJJAJ OUED HASSAR   PROVINCE MEDIOUNA
WINXO VESALE,‎ 14.61 DH,ANGLE AV 2 MARS ET TARIK IBNOU ZIAD
ISTIRAHA LES CRETES,‎ 13.89 DH,RUE VESALE ET 2 MARS
PETROFAN S/S ZOUBEIR,‎ 13.96 DH,BOULEVARD HAJ FATEH  HAY EL HASSANI CASABLANCA  
EL MANZAH SS,‎ 14.87 DH,"PK 8,35  COMMUNE RURAL EL MAJJATIA"
AIN HARROUDA,‎ 13.97 DH,"ROUTE DE CASA   -, MOHAMMEDIA"
WINXO HASSAN II CASA,‎ 13.93 DH,RP HASSANE 2 CASA
WIDAD,‎ 13.97 DH,"ANGLE BD ABDELMOUMEN, CASABLANCA"
PETROFAN S/S BACHKOU,‎ 13.96 DH,BD EL HACHIMI FILALI-QUARTIER LES CRÊTES POLO-CASABLANCA 
ABDELMOUMEN,‎ 13.97 DH,"212, BOULEVARD ABDELMOUMEN"
ABDELMOUMEN I,‎ 13.97 DH,"BD TADDERT, CASABLANCA"
PETROFAN S/S CALIFORNIE,‎ 13.62 DH,355 BOULEVARD ABDELMOUMEN CASABLANCA
ABDELMOUMEN II,‎ 13.62 DH,ANGLE RUE LAMENAI ET BOULEVARD ABDELMOUMEN CASABLANCA
ISTIRAHA CHAOUIA,‎ 13.89 DH,ANGLE BD ROUDANI ET ZERKTOUNI
PALMIERS,‎ 13.99 DH,QUARTIER PALMIER - ANGLE RUE 9 AVRIL ET RUE MOHAMED BAHI
EL GHOUROUB,‎ 13.98 DH,"61, BOULEVARD BORDEAUX"
WINXO AL MASSIRA,‎ 13.89 DH,AVENUE EL MASSIRA
STATION ZIZ GAMA GHANDI,‎ 13.89 DH,"STATION ZIZ, BD GHANDI CASABLANCA"
"MLY YOUSSEF , ZIRAOUI  CASA",‎ 13.96 DH,COMMUNE BOUSKOURA-PROVINCE NOUACEUR
PETROFAN S/S GHANDI,‎ 13.62 DH,ANGLE MLY YOUSSEF ET ZIRAOUI CASA
PISCINE,‎ 13.97 DH,BOULEVARD GHANDI- CASABLANCA
STATION PETROM OASIS,‎ 13.7 DH,ROND POINT LECLERC
WINXO BORDEAUX,‎ 13.89 DH,BD BORDEAUX
